"NUMERO_PRESTAMO","NOMBRE_OPERACION","IDENTIFICADOR_PROCESO","NOMBRE_ADQUISICION","CATEGORIA_PROCESO","NOMBRE_ORGANISMO_EJECUTOR","MONTO_PRESUPUESTADO_PROCESO_ADQUISICION","ESTADO_PROCESO"
"2181JUDICIAL",Programa de inversión y modernización para el sector justicia República de Guatemala,GTM-ODSJ-2181JUDICIAL-1600-O,"Construcción de un Módulo de Gradas de Emergencia del Edificio Torre de Tribunales, Guatemala.",Obras,Organismo Judicial Guatemala (OJ),0.00,Fracasado
"2318",Financiamiento Obras Complementarias de la Presa Multipropósito Montegrande  ,DOM-2025-2318-20888-CF,Contratación de agencia de implementación,Consultorías Firmas,Instituto Nacional de Recursos Hídraulicos (INDRHI),2500000.00,Previsto
"2154A",Programa de Emergencia Prevención y Contención del COVID-19 en Nicaragua (Modif. al Préstamo No. 2154),NIC-2025-2154A-15130-B,Dotación de Equipamiento Médico,Bienes,Ministerio de Salud (MINSA),1504457.29,Adjudicado
"2239",Programa de Mejoramiento Integral de la Infraestructura y Formación Educativa en Honduras,HND-SECCSYLM-2239-5490-CI,Un (1) Abogado (fortalecimiento para FHIS),Consultorías Individuales,"Secretaría de Estado en los Despachos de Desarrollo Comunitario, Agua y Saneamiento (SEDECOAS)",37500.00,Previsto
"2332",HN - Programa de Crédito para la Agroindustria y Cajas Rurales,HND-PDLRS-2332-8710-B,"3.14, 3.15, 4.12 y 4.31 Adquisición de Equipo Informático",Bienes,Programa de la Red Solidaria (PRS),192000.00,Previsto
"2181DEFENSAPP",Programa de inversión y modernización para el sector justicia República de Guatemala,GTM-ODSJ-2181DEFENSAPP-4334-O,"IDPP-03-A Construccion Edificio de la Sede Municipal del Instituto de la Defensa Pública Penal en el Municipio de Chimaltenango, Chimaltenango",Obras,Instituto de la Defensa Pública Penal de Guatemala (IDPP),900000.00,En Curso
"2233",Programa de Mejora del Acceso y la Calidad Educativa (PROMACE),ARG-MDEDJ-2233-9048-CI,Un Supervisor Independientes de Obras de Infraestructura (por 22 meses),Consultorías Individuales,Programa de Mejora del Acceso y la Calidad Educativa (PROMACE),21505.93,Previsto
"2261","Ampliación del Sistema de Abastecimiento de Agua Potable en la Ciudad de Gracias, Departamento de Lempira",HND-S-2261-5854-CI,Coordinador Unidad Ejecutora 2025,Consultorías Individuales,"Secretaría de Estado en los Despachos de Desarrollo Comunitario, Agua y Saneamiento (SEDECOAS)",100800.00,Adjudicado
"2256",Programa Mi Nueva Escuela ,SLV-MDECYT(-2256-1120-B,Adquisición de pantallas SMART TV y accesorios complementarios para Centros educativos intervenidos con el préstamo BCIE 2256,Bienes,"Ministerio de Educación, Ciencia y Tecnología (MINEDUCYT)",2620800.00,Previsto
"2237",Programa de Financiamiento a Plan de Control Territorial,SLV-MDOPYDT(-2237-9116-CI,"Servicios de Consultoría Individual para (1) ""Especialista Financiero"". Velará por el cumplimiento de todos los compromisos establecidos en el Contrato de Préstamo, que se refieran a gestiones financieras; gestionar los pagos y desembolsos, garantizando que sean de conformidad al Plan Global de Inversiones del Programa (PGI); preparar el Plan Anual de Inversión del Programa (PAIP), y preparar y mantener un sistema de seguimiento financiero de los proyectos. Salario mensual es de: $3,390.00 con IVA, por un período de 3 años.",Consultorías Individuales,Ministerio de Obras Públicas y de Transporte (MOPT),122040.00,Adjudicado
